z,lon,lat,station,state,county,name,network,present,missing,9/1/2021,flag,time,9/2/2021,flag,time,Notes
5.78,-73.503853,41.201478,CT-FR-59,CT,Fairfield,New Canaan 3.8 N,coco,2,0,0,,6,5.78,,7,
5.41,-73.242783,41.376312,CT-FR-65,CT,Fairfield,Newtown 4.6 SE,coco,2,0,0.1,,8,5.31,,8,
5.52,-73.395905,41.102821,CT-FR-66,CT,Fairfield,Norwalk 1.4 ENE,coco,2,0,0.02,,8,5.5,,8,
6.61,-73.448285,41.130347,CT-FR-25,CT,Fairfield,Norwalk 2.9 NNW,coco,2,0,0.04,,7,6.57,,7,
5.58,-73.365866,41.306821,CT-FR-78,CT,Fairfield,Redding 1.4 E,coco,2,0,0.05,,7,5.53,,7,
6.71,-73.487435,41.247599,CT-FR-29,CT,Fairfield,Ridgefield 1.9 SSE,coco,2,0,0.04,,11,6.67,,9,
5.18,-73.16345,41.305334,CT-FR-23,CT,Fairfield,Shelton 1.3 W,coco,2,0,0,,6,5.18,,7,
3.9,-73.1777681,41.2873404,CT-FR-77,CT,Fairfield,Shelton 2.3 WSW,coco,2,0,0.03,,7,3.87,,7,
5.72,-73.56817627,41.03778839,CT-FR-39,CT,Fairfield,Stamford 4.2 S,coco,2,0,0.07,,8,5.65,,8,
8.1,-73.569992,41.027763,CT-FR-93,CT,Fairfield,Stamford 4.8 S,coco,2,0,0.09,,8,8.01,,8,
6.04,-73.126408,41.202651,CT-FR-46,CT,Fairfield,Stratford 0.2 ESE,coco,2,0,0.03,,7,6.01,,7,
5.87,-73.146687,41.20400839,CT-FR-26,CT,Fairfield,Stratford 0.9 W,coco,2,0,0.02,,6,5.85,,6,
5.4,-73.225097,41.255896,CT-FR-57,CT,Fairfield,Trumbull 0.9 W,coco,2,0,0.03,,7,5.37,,7,
5.01,-73.204992,41.241036,CT-FR-67,CT,Fairfield,Trumbull 1.2 S,coco,2,0,0.01,,5,5,,6,
5.37,-73.469339,41.211293,CT-FR-63,CT,Fairfield,Wilton 1.9 NW,coco,2,0,0.05,,7,5.32,,7,
5.91,-72.923029,41.718274,CT-HR-71,CT,Hartford,Bristol 2.7 NNE,coco,2,0,0,,6,5.91,,6,
5.96,-72.98527,41.701381,CT-HR-31,CT,Hartford,Bristol 2.7 WNW,coco,2,0,0.001,T,7,5.96,,7,
6.1,-72.932,41.7944,60973,CT,Hartford,BURLINGTON,coop,2,0,0, ,6,6.1, ,6,
5.53,-72.924976,41.824147,CT-HR-70,CT,Hartford,Canton 1.5 W,coco,2,0,0.11,,10,5.42,,9,
5.36,-72.5192,41.7917,CT-HR-52,CT,Hartford,Central Manchester 0.8 N,coco,2,0,0,,7,5.36,,7,
5.77,-72.5916481,41.75716303,CT-HR-22,CT,Hartford,East Hartford 1.3 E,coco,2,0,0.02,,8,5.75,,8,
5.41,-72.572987,41.956341,CT-HR-5,CT,Hartford,Enfield 1.5 SE,coco,2,0,0,,7,5.41,,7,
5.9,-72.812248,41.716931,CT-HR-39,CT,Hartford,Farmington 1.6 SW,coco,2,0,0.02,,7,5.88,,7,
6.32,-72.8754,41.69925,CT-HR-41,CT,Hartford,Farmington 4.9 WSW,coco,2,0,0.05,,9,6.27,,9,
1.49,-72.70768,41.74301,CT-HR-53,CT,Hartford,Hartford 2.0 SW,coco,2,0,0.02,,8,1.47,,8,
5.12,-72.65056,41.73611,KHFD,CT,Hartford,HARTFORD BRAINARD FIELD,asos,2,0,4.43, ,24,0.69, ,24,
5.27,-72.6819,41.9375,KBDL,CT,Hartford,HARTFORD-BRADLEY INTERNATIONAL AIRPORT,asos,2,0,4.07, ,24,1.2, ,24,
6.19,-72.78289,41.6225,CT-HR-80,CT,Hartford,Kensington 0.7 WSW,coco,2,0,0.13,,9,6.06,,9,
5.17,-72.514841,41.778162,CT-HR-100,CT,Hartford,Manchester 0.4 ENE,coco,2,0,0,,7,5.17,,8,
5.24,-72.740872,41.660211,CT-HR-65,CT,Hartford,Newington 1.9 SSW,coco,2,0,0.001,T,7,5.24,,7,
4.83,-72.897291,41.885145,CT-HR-28,CT,Hartford,North Canton 0.8 SSW,coco,2,0,0,,7,4.83,,7,
4.63,-72.8207,42.0244,CT-HR-8,CT,Hartford,North Granby 1.3 ENE,coco,2,0,0,,7,4.63,,7,
5.8,-72.88222,41.656,CT-HR-83,CT,Hartford,Plainville 1.7 SW,coco,2,0,0.03,,7,5.77,,7,
5.51,-72.641449,41.659169,CT-HR-68,CT,Hartford,Rocky Hill 1.3 E,coco,2,0,0.12,,9,5.39,,9,
4.93,-72.858499,41.600463,CT-HR-76,CT,Hartford,Southington 1.0 ENE,coco,2,0,0.02,,7,4.91,,7,
5.28,-72.9089,41.6061,CT-HR-55,CT,Hartford,Southington 1.7 WNW,coco,2,0,0.07,,8,5.21,,8,
5.73,-72.822218,41.607974,CT-HR-15,CT,Hartford,Southington 3.0 E,coco,2,0,0.05,,7,5.68,,7,
5.07,-72.577307,41.961437,CT-HR-106,CT,Hartford,Southwood Acres 0.3 WSW,coco,2,0,0,,7,5.07,,7,
4.65,-72.698963,41.997832,CT-HR-82,CT,Hartford,Suffield 0.5 NNE,coco,2,0,0,,7,4.65,,7,
5.39,-72.63842,42.014986,CT-HR-99,CT,Hartford,Suffield 3.6 ENE,coco,2,0,0.01,,7,5.38,,7,
5.48,-72.63149,42.027433,CT-HR-57,CT,Hartford,Suffield Depot 3.3 NNE,coco,2,0,0,,6,5.48,,6,
4.97,-72.750827,42.026296,CT-HR-88,CT,Hartford,Suffield Depot 6.0 WNW,coco,2,0,0,,7,4.97,,7,
5.91,-72.745067,41.782138,CT-HR-63,CT,Hartford,West Hartford 1.1 NNE,coco,2,0,0.03,,8,5.88,,7,
5.41,-72.7284,41.754,CT-HR-115,CT,Hartford,West Hartford 1.6 SE,coco,2,0,0.001,T,7,5.41,,7,
4.28,-72.73737,41.799,CT-HR-85,CT,Hartford,West Hartford 2.3 NNE,coco,2,0,0.02,,8,4.26,,8,
5.13,-72.84293,41.86764,CT-HR-113,CT,Hartford,West Simsbury 0.4 S,coco,2,0,0,,7,5.13,,7,
5.18,-72.6909,41.6926,CT-HR-6,CT,Hartford,Wethersfield 1.2 WSW,coco,2,0,0.07,,9,5.11,,9,
5.81,-72.682722,41.674573,CT-HR-45,CT,Hartford,Wethersfield 1.9 SSW,coco,2,0,0.25,,7,5.56,,7,
5.86,-72.6966,41.8891,CT-HR-102,CT,Hartford,Windsor Locks 3.2 SW,coco,2,0,0,,7,5.86,,7,
5.77,-73.0085,41.8418,60227,CT,Litchfield,BAKERSVILLE,coop,2,0,0,T,6,5.77, ,6,
4.1,-72.9637,41.9211,60299,CT,Litchfield,BARKHAMSTED,coop,2,0,0.01, ,5,4.09, ,5,
4.25,-73.256032,42.009638,CT-LT-28,CT,Litchfield,Canaan 4.2 ESE,coco,2,0,0,,7,4.25,,7,
4.42,-73.467674,41.738463,CT-LT-47,CT,Litchfield,Kent 1.0 NE,coco,2,0,0.02,,6,4.4,,6,
5.14,-72.978346,41.901609,CT-LT-18,CT,Litchfield,New Hartford Center 1.5 N,coco,2,0,0,,7,5.14,,7,
5.77,-73.0092,41.8417,CT-LT-9,CT,Litchfield,New Hartford Center 3.2 SW,coco,2,0,0.001,T,7,5.77,,7,
5.56,-73.4657422,41.5978463,CT-LT-37,CT,Litchfield,New Milford 3.1 WNW,coco,2,0,0.04,,7,5.52,,7,
5.22,-73.43604,41.51472,CT-LT-22,CT,Litchfield,New Milford 5.3 SSW,coco,2,0,0.15,,9,5.07,,8,
4.34,-73.2208,41.9725,65445,CT,Litchfield,NORFOLK 2 SW,coop,2,0,0,T,7,4.34, ,7,
4.02,-73.39284,41.75488,CT-LT-20,CT,Litchfield,Warren 2.4 WNW,coco,2,0,0,,7,4.02,,7,
5.7,-73.116618,41.599055,CT-LT-14,CT,Litchfield,Watertown 0.5 S,coco,2,0,0.05,,7,5.65,,7,
4.34,-73.08518,41.923416,CT-LT-44,CT,Litchfield,Winsted 1.0 WSW,coco,2,0,0,,6,4.34,,6,
5.41,-73.002645,41.90035,CT-LT-43,CT,Litchfield,Winsted 3.8 ESE,coco,2,0,0.001,T,7,5.41,,7,
5.09,-73.2225,41.5287,CT-LT-34,CT,Litchfield,Woodbury Center 1.5 SSW,coco,2,0,0.04,,7,5.05,,7,
6.46,-72.49858,41.41927,CT-MD-30,CT,Middlesex,Chester Center 2.7 WNW,coco,2,0,0,,7,6.46,,7,
5.5,-72.704598,41.475831,CT-MD-24,CT,Middlesex,Durham 1.2 W,coco,2,0,0,,7,5.5,,7,
5.23,-72.69469,41.44385,CT-MD-28,CT,Middlesex,Durham 2.2 SSW,coco,2,0,0.001,T,7,5.23,,7,
6.53,-72.39281,41.34475,CT-MD-18,CT,Middlesex,Essex Village 0.9 S,coco,2,0,0,,8,6.53,,8,
5.95,-72.555951,41.501067,CT-MD-23,CT,Middlesex,Higganum 0.7 N,coco,2,0,0.03,,8,5.92,,8,
5.97,-72.54904,41.50089,CT-MD-26,CT,Middlesex,Higganum 0.8 NE,coco,2,0,0.02,,8,5.95,,7,
6.21,-72.5635,41.3742,CT-MD-32,CT,Middlesex,Killingworth 1.1 N,coco,2,0,0.001,T,7,6.21,,7,
5.85,-72.705,41.5103,CT-MD-25,CT,Middlesex,Middlefield 0.6 SE,coco,2,0,0.001,T,7,5.85,,6,
5.58,-72.649982,41.5459238,CT-MD-33,CT,Middlesex,Middletown 0.3 SE,coco,2,0,0.01,,7,5.57,,7,
4.99,-73.023957,41.403975,CT-NH-79,CT,New Haven,Bethany 1.9 SW,coco,2,0,0.03,,8,4.96,,7,
5.22,-72.630489,41.272308,CT-NH-41,CT,New Haven,Madison Center 1.6 W,coco,2,0,0.001,T,7,5.22,,7,
5.83,-72.615093,41.329403,CT-NH-50,CT,New Haven,Madison Center 4.1 N,coco,2,0,0.001,T,7,5.83,,7,
4.97,-72.846985,41.525841,CT-NH-75,CT,New Haven,Meriden 2.8 WSW,coco,2,0,0.001,T,6,4.97,,6,
4.96,-72.82778,41.50972,KMMK,CT,New Haven,MERIDEN MARKHAM MUNICIPAL AP,asos,2,0,4.5, ,24,0.46, ,24,
4.9,-73.036959,41.511,CT-NH-45,CT,New Haven,Naugatuck 1.7 NNE,coco,2,0,0,,6,4.9,,6,
4.53,-72.88722,41.26389,KHVN,CT,New Haven,NEW HAVEN TWEED AP,asos,2,0,3.97, ,24,0.56, ,24,
6.77,-72.802406,41.38554,CT-NH-72,CT,New Haven,Northford 0.8 SW,coco,2,0,0,,7,6.77,,7,
4.7,-73.13333,41.48333,KOXC,CT,New Haven,OXFORD WATERBURY,asos,1,1,4.7, ,24,X,X,X,
5.4,-72.98605889,41.49734348,CT-NH-22,CT,New Haven,Prospect 0.5 SW,coco,2,0,0.04,,8,5.36,,8,
5.88,-72.943684,41.512387,CT-NH-14,CT,New Haven,Prospect 1.9 ENE,coco,2,0,0,,6,5.88,,7,
8.72,-73.093328,41.387792,CT-NH-80,CT,New Haven,Seymour 1.2 WSW,coco,2,0,0,,7,8.72,,7,
5.29,-73.257986,41.478301,CT-NH-77,CT,New Haven,Southbury 2.3 W,coco,2,0,0.5,,13,4.79,,8,
5.1,-72.816087,41.465579,CT-NH-42,CT,New Haven,Wallingford Center 1.1 N,coco,2,0,0,,7,5.1,,5,
5.26,-72.8535,41.4614,CT-NH-44,CT,New Haven,Wallingford Center 1.9 WNW,coco,2,0,0.01,,7,5.25,,7,
5.24,-72.85065,41.49109,CT-NH-43,CT,New Haven,Wallingford Center 3.3 NNW,coco,2,0,0.01,,7,5.23,,7,
5.41,-73.06255,41.56308,CT-NH-67,CT,New Haven,Waterbury 1.3 WNW,coco,2,0,0.01,,7,5.4,,7,
6.33,-72.984403,41.274504,CT-NH-39,CT,New Haven,West Haven 0.8 W,coco,2,0,0.06,,7,6.27,,7,
5.02,-72.1462,41.3085,CT-NL-22,CT,New London,Central Waterford 2.7 SSW,coco,2,0,0.001,T,7,5.02,,7,
5.7,-72.32166667,41.57805556,CT-NL-70,CT,New London,Colchester 0.6 ENE,coco,2,0,0,,6,5.7,,6,
5.27,-72.3047,41.5874,CT-NL-53,CT,New London,Colchester 1.7 ENE,coco,2,0,0.001,T,7,5.27,,7,
7.36,-72.2376099,41.348651,CT-NL-29,CT,New London,East Lyme 0.5 SW,coco,2,0,0,,6,7.36,,6,
6.09,-71.930861,41.608825,CT-NL-21,CT,New London,Griswold 0.9 N,coco,2,0,0,,8,6.09,,8,
3.69,-72.06001,41.3301,CT-NL-51,CT,New London,Groton 0.6 ENE,coco,2,0,0,,8,3.69,,7,
3.64,-72.04944,41.3275,KGON,CT,New London,GROTON NEW LONDON AP,asos,2,0,1.59, ,24,2.05, ,24,
6.78,-71.9332707,41.5828836,CT-NL-57,CT,New London,Jewett City 3.0 ESE,coco,2,0,0.11,,9,6.67,,9,
5.86,-71.992743,41.481335,CT-NL-72,CT,New London,Ledyard 2.8 NNE,coco,2,0,0,,8,5.86,,8,
4.39,-71.96933746,41.35845184,CT-NL-19,CT,New London,Mystic 0.9 W,coco,2,0,0,,7,4.39,,7,
4.24,-71.983,41.3545,CT-NL-37,CT,New London,Mystic 1.6 W,coco,2,0,0,,7,4.24,,7,
4.99,-71.999257,41.392569,CT-NL-46,CT,New London,Mystic 3.4 NW,coco,2,0,0,,7,4.99,,7,
5.3,-72.10315,41.34298,CT-NL-6,CT,New London,New London 1.0 NNW,coco,2,0,0.04,,10,5.26,,7,
4.15,-72.20648,41.30986,CT-NL-32,CT,New London,Niantic 1.1 SW,coco,2,0,0,,6,4.15,,6,
7.48,-72.076749,41.584855,CT-NL-10,CT,New London,Norwich 2.5 NNE,coco,2,0,0,,6,7.48,,6,
6.45,-72.020063,41.494447,CT-NL-56,CT,New London,Norwich 5.2 SE,coco,2,0,0,,7,6.45,,6,
7.51,-72.0184,41.4918,CT-NL-50,CT,New London,Norwich 5.4 SE,coco,2,0,0,,7,7.51,,7,
6.34,-72.06517,41.5268,65910,CT,New London,NORWICH PUBLIC UTILITY PLANT,coop,2,0,0, ,6,6.34, ,6,
7.21,-72.330686,41.300146,CT-NL-59,CT,New London,Old Lyme 1.1 S,coco,2,0,0.03,,9,7.18,,11,
7.5,-72.316987,41.339311,CT-NL-63,CT,New London,Old Lyme 1.7 NNE,coco,2,0,0.001,T,7,7.5,,7,
6.52,-72.26666,41.30129,CT-NL-38,CT,New London,Old Lyme 3.4 ESE,coco,2,0,0.001,T,7,6.52,,7,
4.53,-71.841829,41.367347,CT-NL-52,CT,New London,Pawcatuck 0.8 SE,coco,2,0,0,,5,4.53,,7,
4.17,-71.8453,41.3503,CT-NL-40,CT,New London,Pawcatuck 1.8 SSE,coco,2,0,0,,7,4.17,,7,
4.21,-71.899639,41.340111,CT-NL-18,CT,New London,Stonington 0.5 NNE,coco,2,0,0.01,,9,4.2,,8,
4.68,-71.9116,41.3536,CT-NL-24,CT,New London,Stonington 1.4 NNW,coco,2,0,0,,7,4.68,,7,
6.27,-72.143547,41.356177,CT-NL-60,CT,New London,Waterford 1.1 E,coco,2,0,0,,8,6.27,,8,
5.09,-72.364948,41.716442,CT-TL-45,CT,Tolland,Andover 1.5 S,coco,2,0,0,,7,5.09,,7,
5.15,-72.499661,41.890117,CT-TL-26,CT,Tolland,Broad Brook 2.6 ESE,coco,2,0,0.03,,9,5.12,,9,
4.17,-72.44127,41.995532,CT-TL-15,CT,Tolland,Central Somers 0.3 N,coco,2,0,0,,6,4.17,,6,
4.72,-72.33738,41.78805,CT-TL-40,CT,Tolland,Coventry 0.3 NNE,coco,2,0,0,,7,4.72,,7,
6.54,-72.2884,41.75235,CT-TL-51,CT,Tolland,Coventry 3.4 SE,coco,2,0,0,,7,6.54,,7,
5.24,-72.389098,41.64224,CT-TL-29,CT,Tolland,Hebron 1.6 SW,coco,2,0,0.05,,8,5.19,,9,
5.96,-72.4312,41.7196,CT-TL-18,CT,Tolland,Hebron 5.3 NW,coco,2,0,0.03,,7,5.93,,7,
5.5,-72.162131,41.794287,CT-TL-30,CT,Tolland,Mansfield Center 2.7 NE,coco,2,0,0.05,,9,5.45,,9,
4.43,-72.44703,41.98137,CT-TL-41,CT,Tolland,Somers 0.3 S,coco,2,0,0,,6,4.43,,6,
4.43,-72.430771,41.99796,CT-TL-49,CT,Tolland,Somers 1.2 NE,coco,2,0,0,,7,4.43,,7,
4.75,-72.483947,41.983914,CT-TL-35,CT,Tolland,Somersville 0.2 ENE,coco,2,0,0,,8,4.75,,6,
4.55,-72.2606,41.9984,67958,CT,Tolland,STAFFORDVILLE,coop,2,0,0, ,4,4.55, ,4,
4.55,-72.2609808,41.9987367,CT-TL-2,CT,Tolland,Staffordville 0.4 NNW,coco,2,0,0,,6,4.55,,5,
5.53,-72.2285,41.7951,68138,CT,Tolland,STORRS,coop,2,0,0.02, ,7,5.51, ,7,
4.95,-72.1806368,41.9668548,CT-TL-43,CT,Tolland,Union 2.1 SW,coco,2,0,0,,8,4.95,,8,
4.94,-72.47987,41.83918,CT-TL-50,CT,Tolland,Vernon 1.6 N,coco,2,0,0,,7,4.94,,7,
4.54,-72.482,41.857,CT-TL-19,CT,Tolland,Vernon 2.8 N,coco,2,0,0,,8,4.54,,8,
6.13,-72.269449,41.676144,CT-TL-42,CT,Tolland,Willimantic 3.8 SW,coco,2,0,0,,6,6.13,,7,
5.51,-72.2243,41.8389,CT-TL-27,CT,Tolland,Willington 2.7 SE,coco,2,0,0,,7,5.51,,7,
4.89,-71.830421,41.79113,CT-WN-26,CT,Windham,Danielson 3.2 ESE,coco,2,0,0,,7,4.89,,7,
4.72,-71.851662,41.85585,CT-WN-6,CT,Windham,Dayville 2.0 ENE,coco,2,0,0.08,,9,4.64,,9,
4.59,-71.8391374,41.8381339,CT-WN-4,CT,Windham,East Killingly 1.3 SW,coco,2,0,0,,5,4.59,,5,
5.14,-72.120719,41.899067,CT-WN-12,CT,Windham,Eastford 2.0 W,coco,2,0,0,,7,5.14,,7,
5.33,-71.846671,41.731808,CT-WN-8,CT,Windham,Moosup 1.7 NE,coco,2,0,0,,6,5.33,,6,
5.05,-72.17651,41.701831,CT-WN-10,CT,Windham,South Windham 1.3 NNE,coco,2,0,0.09,,9,4.96,,8,
4.79,-71.835356,41.7454466,CT-WN-25,CT,Windham,Sterling 2.6 N,coco,2,0,0,,7,4.79,,7,
5.11,-71.9031,41.9442,66660,CT,Windham,WEST THOMPSON LAKE,coop,2,0,0, ,6,5.11, ,6,
4.36,-72.18361,41.74194,KIJD,CT,Windham,WILLIMANTIC WINDHAM AP,asos,2,0,2.38, ,24,1.98, ,24,
1.43,-75.49217224,39.08411026,DE-KN-12,DE,Kent,Camden 3.7 ESE,coco,2,0,0,,8,1.43,,8,
1.02,-75.65588012,39.28032875,DE-KN-20,DE,Kent,Clayton 1.5 SW,coco,2,0,0,,7,1.02,,7,
0.94,-75.6125,39.12966667,DE-KN-9,DE,Kent,Dover 5.1 WSW,coco,2,0,0.001,T,6,0.94,,6,
1.76,-75.57122803,39.00983047,DE-KN-24,DE,Kent,Felton 0.4 E,coco,2,0,0,,7,1.76,,7,
1.74,-75.516933,39.03257,DE-KN-1,DE,Kent,Felton 3.6 NE,coco,2,0,0.01,,7,1.73,,7,
2.21,-75.534292,38.930137,DE-KN-16,DE,Kent,Harrington 2.1 ENE,coco,2,0,0.001,T,9,2.21,,8,
1.17,-75.4654,39.0518,DE-KN-28,DE,Kent,Magnolia 1.4 SSE,coco,2,0,0.001,T,7,1.17,,7,
2.53,-75.460551,38.910971,DE-KN-13,DE,Kent,Milford 1.5 W,coco,2,0,0,,9,2.53,,9,
0.94,-75.589683,39.258266,DE-KN-3,DE,Kent,Smyrna 2.7 SSE,coco,2,0,0,,7,0.94,,7,
1.1,-75.707126,39.439325,DE-NC-4,DE,New Castle,Middletown 0.9 SSE,coco,2,0,0,,7,1.1,,7,
1.02,-75.689461,39.456357,DE-NC-71,DE,New Castle,Middletown 1.4 ENE,coco,2,0,0,,7,1.02,,7,
1.29,-75.74945068,39.50447845,DE-NC-28,DE,New Castle,Middletown 4.1 NNW,coco,2,0,0.001,T,7,1.29,,7,
0.89,-75.62999725,39.48918152,DE-NC-35,DE,New Castle,Middletown 5.2 ENE,coco,2,0,0,,6,0.89,,6,
4.34,-75.76192474,39.65519714,DE-NC-13,DE,New Castle,Newark 1.5 S,coco,2,0,1.49,,7,2.85,,7,
4.8,-75.776054,39.706609,DE-NC-34,DE,New Castle,Newark 2.3 NNW,coco,2,0,2.21,,12,2.59,,12,
4.14,-75.783383,39.64374,DE-NC-38,DE,New Castle,Newark 2.7 SSW,coco,2,0,1.4,,8,2.74,,8,
3.67,-75.786129,39.624942,DE-NC-2,DE,New Castle,Newark 3.9 SSW,coco,2,0,1.12,,7,2.55,,7,
3.71,-75.751913,39.753672,DE-NC-1,DE,New Castle,Newark 5.3 N,coco,2,0,1.27,,8,2.44,,8,
3.13,-75.62449,39.719486,DE-NC-74,DE,New Castle,Newport 1.0 WNW,coco,2,0,0.76,,7,2.37,,7,
3.9,-75.648791,39.725585,DE-NC-10,DE,New Castle,Newport 2.4 WNW,coco,2,0,0.02,,5,3.88,,5,
3.45,-75.560007,39.752625,DE-NC-32,DE,New Castle,Wilmington 2.0 NW,coco,2,0,1.08,,7,2.37,,7,
3.66,-75.539334,39.78787,DE-NC-33,DE,New Castle,Wilmington 3.6 N,coco,2,0,1.04,,7,2.62,,7,
3.29,-75.60452,39.74629,DE-NC-73,DE,New Castle,Wilmington 4.0 W,coco,2,0,0.78,,7,2.51,,7,
3.45,-75.518258,39.8166579,DE-NC-40,DE,New Castle,Wilmington 5.6 N,coco,2,0,0.73,,7,2.72,,7,
#,-75.6330466,39.7175724,DE-NC-75,DE,New Castle,Wilmington 5.6 WSW,coco,2,0,1.23,,9,5.86,,10,high
5.59,-75.668155,39.742279,DE-NC-68,DE,New Castle,Wilmington 6.8 W,coco,2,0,1.64,,8,3.95,,10,
5.4,-75.693981,39.752842,DE-NC-67,DE,New Castle,Wilmington 8.3 W,coco,2,0,1.93,,7,3.47,,7,
2.3,-75.60567,39.6744,KILG,DE,New Castle,WILMINGTON NEW CASTLE CO AP,asos,2,0,2.3, ,24,0, ,24,
3.14,-75.55297,38.72328,DE-SS-80,DE,Sussex,Bridgeville 3.0 ESE,coco,2,0,0,,8,3.14,,8,
0.21,-75.121908,38.576814,DE-SS-31,DE,Sussex,Dagsboro 7.1 ENE,coco,2,0,0,,7,0.21,,6,
0.83,-75.572359,38.458138,DE-SS-62,DE,Sussex,Delmar 0.1 WSW,coco,2,0,0.01,,6,0.82,,6,
0.95,-75.492328,38.469094,DE-SS-3,DE,Sussex,Delmar 4.3 E,coco,2,0,0.02,,7,0.93,,7,
1.27,-75.3690033,38.83171082,DE-SS-48,DE,Sussex,Ellendale 3.4 ENE,coco,2,0,0.001,T,7,1.27,,6,
0.23,-75.117694,38.523319,DE-SS-79,DE,Sussex,Frankford 6.2 E,coco,2,0,0,,6,0.23,,7,
1.05,-75.4931322,38.6972013,DE-SS-2,DE,Sussex,Georgetown 5.8 W,coco,2,0,0,,8,1.05,,8,
0.85,-75.36253,38.68974,KGED,DE,Sussex,GEORGETOWN-DELAWARE COASTAL AIRPORT,asos,2,0,0.83, ,24,0.02, ,24,
1.25,-75.5601,38.605,DE-SS-64,DE,Sussex,Laurel 3.5 NNE,coco,2,0,0.01,,8,1.24,,8,
1.3,-75.4732,38.5319,DE-SS-73,DE,Sussex,Laurel 5.6 ESE,coco,2,0,0,,7,1.3,,7,
1,-75.20289,38.74766,DE-SS-66,DE,Sussex,Lewes 3.6 SW,coco,2,0,0,,8,1,,8,
0.99,-75.204769,38.744523,DE-SS-44,DE,Sussex,Lewes 3.9 SW,coco,2,0,0,,7,0.99,,7,
0.96,-75.237325,38.684853,DE-SS-76,DE,Sussex,Long Neck 6.5 NW,coco,2,0,0,,7,0.96,,7,
2.45,-75.392441,38.892872,DE-SS-30,DE,Sussex,Milford 2.6 SE,coco,2,0,0,,7,2.45,,7,
0.96,-75.31587982,38.58194733,DE-SS-41,DE,Sussex,Millsboro 1.3 W,coco,2,0,0,,7,0.96,,7,
1.23,-75.257393,38.77847,DE-SS-61,DE,Sussex,Milton 3.0 E,coco,2,0,0,,7,1.23,,7,
1.17,-75.28701782,38.72711182,DE-SS-25,DE,Sussex,Milton 3.8 SSE,coco,2,0,0,,7,1.17,,7,
0.22,-75.131104,38.689058,DE-SS-78,DE,Sussex,Rehoboth Beach 3.3 SW,coco,2,0,0,,7,0.22,,7,
2,-75.6261,38.645,DE-SS-46,DE,Sussex,Seaford 0.6 WSW,coco,2,0,0,,7,2,,7,
0.05,-75.089328,38.461155,DE-SS-15,DE,Sussex,Selbyville 7.1 E,coco,2,0,0,,5,0.05,,5,
4.76,-78.849789,39.576776,MD-AL-2,MD,Allegany,Cresaptown-Bel Air 0.9 SSE,coco,2,0,1.08,,7,3.68,,7,
4.49,-78.75624,39.64189,182282,MD,Allegany,CUMBERLAND 2,coop,2,0,1.04, ,6,3.45, ,6,
4.96,-78.93601,39.65971,183415,MD,Allegany,FROSTBURG 2,coop,2,0,1.08, ,6,3.88, ,6,
2.6,-76.4839,39.0604,MD-AA-76,MD,Anne Arundel,Arnold 1.5 NE,coco,2,0,0.02,,9,2.58,,7,
4.13,-76.684,39.1733,KBWI,MD,Anne Arundel,BALTIMORE-WASHINGTON INTERNATIONAL AIRPORT,asos,2,0,4.13, ,24,0, ,24,
1.89,-76.59653,38.89776,MD-AA-1,MD,Anne Arundel,Birdsville 0.2 WSW,coco,2,0,0.02,,7,1.87,,5,
